Date et heure de comptage;Identifiant arc;Libelle;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
2023-11-01 21:00:00+00:00;376;St_Antoine;91.0;2.29833;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-01 22:00:00+00:00;376;St_Antoine;92.0;2.20945;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-01 23:00:00+00:00;376;St_Antoine;;;Inconnu;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-02 00:00:00+00:00;376;St_Antoine;63.0;1.47722;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-02 01:00:00+00:00;376;St_Antoine;54.0;2.31389;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-02 02:00:00+00:00;376;St_Antoine;49.0;1.18278;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-02 03:00:00+00:00;376;St_Antoine;36.0;1.08834;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-02 04:00:00+00:00;376;St_Antoine;29.0;1.70611;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-02 05:00:00+00:00;376;St_Antoine;58.0;1.65222;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-02 06:00:00+00:00;376;St_Antoine;80.0;3.895;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-02 07:00:00+00:00;376;St_Antoine;120.0;15.42945;Pré-saturé;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-02 08:00:00+00:00;376;St_Antoine;166.0;6.44778;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-02 09:00:00+00:00;376;St_Antoine;192.0;6.96278;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-02 10:00:00+00:00;376;St_Antoine;186.0;10.12889;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
