Date et heure de comptage;Identifiant arc;Libelle;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
2023-11-01 21:00:00+00:00;5672;Convention;109.0;3.32334;Fluide;2973;Convention-Blomet;2937;Lecourbe-Convention;Invalide;1997-01-20;2023-01-01;48.838664768841056, 2.2932859242574652;"{""coordinates"": [[2.2945792503760125, 48.83806583337023], [2.2919925981389175, 48.839263704311875]], ""type"": ""LineString""}"
2023-11-01 22:00:00+00:00;5672;Convention;82.0;1.57222;Fluide;2973;Convention-Blomet;2937;Lecourbe-Convention;Invalide;1997-01-20;2023-01-01;48.838664768841056, 2.2932859242574652;"{""coordinates"": [[2.2945792503760125, 48.83806583337023], [2.2919925981389175, 48.839263704311875]], ""type"": ""LineString""}"
2023-11-01 23:00:00+00:00;5672;Convention;;;Inconnu;2973;Convention-Blomet;2937;Lecourbe-Convention;Invalide;1997-01-20;2023-01-01;48.838664768841056, 2.2932859242574652;"{""coordinates"": [[2.2945792503760125, 48.83806583337023], [2.2919925981389175, 48.839263704311875]], ""type"": ""LineString""}"
2023-11-02 00:00:00+00:00;5672;Convention;42.0;0.83056;Fluide;2973;Convention-Blomet;2937;Lecourbe-Convention;Invalide;1997-01-20;2023-01-01;48.838664768841056, 2.2932859242574652;"{""coordinates"": [[2.2945792503760125, 48.83806583337023], [2.2919925981389175, 48.839263704311875]], ""type"": ""LineString""}"
2023-11-02 01:00:00+00:00;5672;Convention;30.0;0.37444;Fluide;2973;Convention-Blomet;2937;Lecourbe-Convention;Invalide;1997-01-20;2023-01-01;48.838664768841056, 2.2932859242574652;"{""coordinates"": [[2.2945792503760125, 48.83806583337023], [2.2919925981389175, 48.839263704311875]], ""type"": ""LineString""}"
2023-11-02 02:00:00+00:00;5672;Convention;15.0;0.34333;Fluide;2973;Convention-Blomet;2937;Lecourbe-Convention;Invalide;1997-01-20;2023-01-01;48.838664768841056, 2.2932859242574652;"{""coordinates"": [[2.2945792503760125, 48.83806583337023], [2.2919925981389175, 48.839263704311875]], ""type"": ""LineString""}"
2023-11-02 03:00:00+00:00;5672;Convention;22.0;0.21222;Fluide;2973;Convention-Blomet;2937;Lecourbe-Convention;Invalide;1997-01-20;2023-01-01;48.838664768841056, 2.2932859242574652;"{""coordinates"": [[2.2945792503760125, 48.83806583337023], [2.2919925981389175, 48.839263704311875]], ""type"": ""LineString""}"
2023-11-02 04:00:00+00:00;5672;Convention;20.0;0.22611;Fluide;2973;Convention-Blomet;2937;Lecourbe-Convention;Invalide;1997-01-20;2023-01-01;48.838664768841056, 2.2932859242574652;"{""coordinates"": [[2.2945792503760125, 48.83806583337023], [2.2919925981389175, 48.839263704311875]], ""type"": ""LineString""}"
2023-11-02 05:00:00+00:00;5672;Convention;24.0;0.52445;Fluide;2973;Convention-Blomet;2937;Lecourbe-Convention;Invalide;1997-01-20;2023-01-01;48.838664768841056, 2.2932859242574652;"{""coordinates"": [[2.2945792503760125, 48.83806583337023], [2.2919925981389175, 48.839263704311875]], ""type"": ""LineString""}"
2023-11-02 06:00:00+00:00;5672;Convention;67.0;1.47889;Fluide;2973;Convention-Blomet;2937;Lecourbe-Convention;Invalide;1997-01-20;2023-01-01;48.838664768841056, 2.2932859242574652;"{""coordinates"": [[2.2945792503760125, 48.83806583337023], [2.2919925981389175, 48.839263704311875]], ""type"": ""LineString""}"
2023-11-02 07:00:00+00:00;5672;Convention;113.0;2.61889;Fluide;2973;Convention-Blomet;2937;Lecourbe-Convention;Invalide;1997-01-20;2023-01-01;48.838664768841056, 2.2932859242574652;"{""coordinates"": [[2.2945792503760125, 48.83806583337023], [2.2919925981389175, 48.839263704311875]], ""type"": ""LineString""}"
